id	hit_freq	conf_freq	approve_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resign_freq	travel_freq	trade_freq	health_freq	politics_freq	social_freq	connection	sender	addressee	pair	year	decennium	quinquennial	sender_birth	addressee_birth_date	sender_generation	addressee_generation	sender_is_older	sender_over_40	addressee_over_40	age_gap_over_20	age_gap	gender_sender	gender_addressee	gender_pair
58	0.00	0.00	6.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.88	EXTENDED FAMILY	MARY FREEBODY	SAMUEL JEAKE JR	"MARY FREEBODY", "SAMUEL JEAKE JR"	1674	1670-1679	1670-1674	UNK	1652	1640-1680	1640-1680	UNK	FALSE	FALSE	TRUE		FEMALE	MALE	FEMALE-MALE
59	16.48	0.00	0.00	0.00	0.00	16.48	0.00	0.00	0.00	0.00	0.00	16.48	0.00	0.00	0.00	BUSINESS; CORRESPONDENT	GEORGE CASTELL	SAMUEL JEAKE JR	"GEORGE CASTELL", "SAMUEL JEAKE JR"	1676	1670-1679	1675-1679	UNK	1652	UNK	1640-1680	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CORRESPONDENT	SAMUEL JEAKE JR	GEORGE CASTELL	"SAMUEL JEAKE JR", "GEORGE CASTELL"	1676	1670-1679	1675-1679	1652	UNK	1640-1680	UNK	UNK	FALSE	UNK	UNK		MALE	MALE	MALE-MALE
61	13.73	0.00	0.00	0.00	0.00	0.00	0.00	6.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	EXTENDED FAMILY	ELIZABETH DIGHTON	SAMUEL JEAKE JR	"ELIZABETH DIGHTON", "SAMUEL JEAKE JR"	1676	1670-1679	1675-1679	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	FEMALE	MALE	FEMALE-MALE
62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	JOHN WAGON	SAMUEL JEAKE JR	"JOHN WAGON", "SAMUEL JEAKE JR"	1676	1670-1679	1675-1679	UNK	1652	1600-1640	1640-1680	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; FRIEND	THOMAS MILLER	SAMUEL JEAKE JR	"THOMAS MILLER", "SAMUEL JEAKE JR"	1676	1670-1679	1675-1679	1644	1652	1640-1680	1640-1680	TRUE	FALSE	FALSE	FALSE	8	MALE	MALE	MALE-MALE
64	6.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	EXTENDED FAMILY	ELIZABETH DIGHTON	SAMUEL JEAKE JR	"ELIZABETH DIGHTON", "SAMUEL JEAKE JR"	1677	1670-1679	1675-1679	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	FEMALE	MALE	FEMALE-MALE
65	1.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FRIEND	JOSEPH RELFE	SAMUEL JEAKE JR	"JOSEPH RELFE", "SAMUEL JEAKE JR"	1677	1670-1679	1675-1679	UNK	1652	1600-1640	1640-1680	TRUE	UNK	FALSE	UNK	7	MALE	MALE	MALE-MALE
66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1678	1670-1679	1675-1679	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	CHRISTOPHER BLACKWOOD JR	SAMUEL JEAKE JR	"CHRISTOPHER BLACKWOOD JR", "SAMUEL JEAKE JR"	1678	1670-1679	1675-1679	1650	1652	1640-1680	1640-1680	TRUE	FALSE	FALSE	FALSE	2	MALE	MALE	MALE-MALE
