id	hit_freq	conf_freq	appr_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resignate_freq	trave_freq	trade_freq	health_freq	politics_freq	social_freq	pair	sender_over_40	addressee_over_40	sender_is_older	age_gap_over_20	gender_pair	connection
179	167.32	0.00	0.00	0.00	55.77	111.54	0.00	0.00	0.00	0.00	0.00	0.00	111.54	0.00	0.00	"JOHN JAYE", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
189	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN JAYE", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
196	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN JAYE", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
69	17.90	0.00	0.00	0.00	0.00	17.90	0.00	0.00	0.00	0.00	0.00	0.00	17.90	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	FALSE	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	FALSE	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	FALSE	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
76	35.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	FALSE	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	FALSE	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	FALSE	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	FALSE	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
